District,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Crop,Water Consumption (liters/hectare),Water Availability (liters/hectare),Soil & Irrigation
Ajmer,5.889491822,2.197799417,30.17135907,11.5956477,41.5486339,Pomegranate,6101.421127,5438.21851,Nitrogenous-Canal Irrigation
Hanumangarh,6.513955487,2.144014184,22.78037226,22.22426769,42.0578286,Bajra,5979.184725,5235.677515,Nitrogenous-Sprinkler Irrigation
Ajmer,7.804940024,1.980036768,33.97461557,26.74567553,45.29085047,Pulses,12439.31257,12332.50233,Alkaline-Drip Irrigation
Sri Ganganagar,7.222445386,2.006084841,29.53562749,13.6422574,34.23457834,Fennel,14614.34094,15028.75819,Alkaline-Drip Irrigation
Kota,7.636505359,0.962679981,29.54021609,20.08012641,43.97300191,Tomato,9035.197687,8186.974572,Black lava soil-Sprinkler Irrigation
Alwar,7.754304187,1.78484534,22.57971668,18.95765895,46.03304077,Mango,13925.20531,14077.13933,Sandy-Drip Irrigation
Kota,6.589619861,1.647113258,23.0402081,28.52051039,39.42445153,Mango,5029.106724,5620.330564,Sandy-Sprinkler Irrigation
Hanumangarh,7.196176827,1.931344517,34.78895807,21.03801676,41.53838327,Cotton,7916.243268,8069.573641,Loamy-Tube Well
Nagaur,7.382363045,3.072912463,22.27532039,10.09017757,32.50409399,Fenugreek,12184.96737,12224.30067,Black lava soil-Sprinkler Irrigation
Hanumangarh,7.568298698,2.012692639,26.41713256,24.04797218,42.65447157,Opium,12116.36042,12663.51144,Alkaline-Drip Irrigation
Jodhpur,7.234272724,1.216070287,31.73354989,32.55778276,30.79961128,Fenugreek,10023.93048,9684.380015,Chalky (Calcareous)-Sprinkler Irrigation
Jaipur,6.86288394,2.524241326,32.43887411,16.32883339,39.29235181,Opium,9156.962291,9449.165306,Sandy-Sprinkler Irrigation
Sri Ganganagar,7.594739911,2.503721987,23.72538666,20.92355237,44.68957769,Oilseeds,10576.85049,10694.11192,Nitrogenous-Tube Well
Jaipur,7.997790757,2.851586305,21.80985471,11.06812267,36.88982597,Cumin,8653.279811,7842.768946,Clay-Sprinkler Irrigation
Alwar,7.148041837,1.472647773,29.66384846,19.58703712,43.84984366,Barley,14299.11922,13684.144,Black lava soil-Canal Irrigation
Udaipur,7.129754947,2.432412219,30.75701524,21.49225907,36.08700701,Barley,12696.51843,12541.46451,Clay-Tube Well
Bhilwara,7.679840424,2.593538839,25.17605131,17.92684746,36.37848733,Mango,7151.9936,6520.482624,Chalky (Calcareous)-Tube Well
Alwar,7.679172256,1.401721036,22.53245111,9.380262086,43.60498476,Citrus,12638.37382,12830.05292,Nitrogenous-Tube Well
Jaipur,8.491816826,2.005940217,31.93293115,26.796488,39.26430248,Coriander,9688.745624,10115.34687,Nitrogenous-Canal Irrigation
Hanumangarh,7.697710493,1.521215522,27.05333884,17.70680682,44.2835124,Wheat,15030.82889,14595.05796,Clay-Sprinkler Irrigation
Ajmer,6.184634932,2.194187865,29.52587884,17.42608663,41.21765102,Cotton,7931.240743,7730.83724,Saline-Canal Irrigation
Bhilwara,7.206071848,2.115305424,24.33289491,21.74961858,35.52322813,Pomegranate,12193.86909,11979.82023,Loamy-Drip Irrigation
Nagaur,7.793631207,1.897186073,30.41416285,16.3591405,48.74068535,Barley,7677.250652,7183.275594,Nitrogenous-Tube Well
Sri Ganganagar,7.624725473,2.199614096,42.46091999,18.62439286,38.41119553,Sugarcane,14449.43406,14962.76992,Nitrogenous-Drip Irrigation
Jodhpur,7.391738401,1.53037923,36.66275734,24.64466007,36.97546618,Garlic,13964.53159,14596.64479,Saline-Drip Irrigation
Jaipur,7.464439855,2.042797352,28.60813516,23.86423919,43.91579944,Bajra,13314.37491,13218.53505,Clay-Sprinkler Irrigation
Ajmer,6.60089263,0.888212916,27.4096549,18.49509844,36.84281486,Cotton,11425.95265,12151.75252,Sandy-Tube Well
Jodhpur,7.809443149,2.819179866,31.90654806,21.55826428,32.40544587,Oilseeds,14182.05859,13473.10426,Loamy-Canal Irrigation
Kota,8.121702899,2.614015105,28.32598506,11.03039443,37.16647446,Guava,14431.50767,13768.7867,Saline-Canal Irrigation
Jaipur,8.298698647,2.322344902,26.72615112,17.4469575,40.39957632,Tomato,9973.846375,9908.948352,Alkaline-Canal Irrigation
Kota,7.636118363,1.971364795,32.74033462,13.30255317,36.28806815,Mango,6690.53883,6538.424591,Saline-Canal Irrigation
Udaipur,8.340746229,1.558065552,30.73649,16.59752976,43.0747232,Tomato,6536.015734,5593.828609,Saline-Tube Well
Nagaur,7.181888144,1.717469763,39.35537241,15.74557955,52.20610861,Tomato,6473.048602,5681.674957,Saline-Canal Irrigation
Alwar,7.579046949,2.016721734,29.5905281,24.95595556,43.73722486,Oilseeds,10271.70642,9876.14555,Alkaline-Tube Well
Udaipur,6.628526235,1.696215604,37.84091215,27.23898209,44.69320011,Fenugreek,10413.52151,9886.285296,Alkaline-Drip Irrigation
Kota,8.528905589,1.280794417,27.4241455,19.36740552,42.19726345,Fennel,14838.99014,15294.93877,Black lava soil-Drip Irrigation
Udaipur,6.628526235,1.696215604,37.84091215,27.23898209,44.69320011,Fenugreek,10413.52151,9886.285296,Alkaline-Drip Irrigation
Jodhpur,6.397352814,2.694882067,23.27395165,14.98280548,38.3432385,Fennel,5302.823539,5166.721426,Nitrogenous-Drip Irrigation
Sri Ganganagar,8.053355212,0.862689484,28.97935116,35.58840565,39.93978224,Cumin,11156.11974,11737.3687,Sandy-Tube Well
Jodhpur,7.846608801,0.986161364,25.56979877,18.3371031,43.51570099,Wheat,8860.161716,9434.989877,Alkaline-Sprinkler Irrigation
Bhilwara,6.687227983,0.746714215,31.48731027,20.69748898,38.57581531,Fenugreek,8744.458063,8454.102753,Clay-Drip Irrigation
Sri Ganganagar,6.701063933,1.68498751,33.65977751,19.01539096,37.67709461,Mango,8690.014378,7886.567955,Sandy-Canal Irrigation
Jodhpur,6.804889037,2.07888072,24.51315841,12.61537536,36.30314296,Maize,10498.52889,10870.41817,Loamy-Sprinkler Irrigation
Alwar,7.754304187,1.78484534,22.57971668,18.95765895,46.03304077,Mango,13925.20531,14077.13933,Sandy-Drip Irrigation
Jodhpur,7.80162375,2.149079233,33.19330084,25.29059163,41.8380992,Mustard,6863.57029,6248.501184,Loamy-Tube Well
Sri Ganganagar,7.104550309,1.610073527,35.40992405,13.25211894,37.92393116,Garlic,8202.166113,8122.905725,Saline-Sprinkler Irrigation
Kota,5.914787132,2.10530042,27.5576196,27.96334999,40.09672035,Oilseeds,9369.466939,9695.742296,Nitrogenous-Canal Irrigation
Ajmer,6.984022379,2.297745449,27.05052622,19.33915322,40.36139483,Mango,13700.15472,14586.85054,Sandy-Drip Irrigation
Sri Ganganagar,7.52511385,2.239753774,33.64470597,16.53824613,36.70480363,Oilseeds,8110.104331,7853.908964,Loamy-Canal Irrigation
Alwar,7.558289256,2.535757968,22.46732985,10.17222054,37.06442365,Tomato,14275.04322,14160.2006,Chalky (Calcareous)-Canal Irrigation
Bhilwara,8.10290921,1.531602383,23.13960406,25.89971065,43.65949035,Maize,11917.01265,12560.28024,Saline-Canal Irrigation
Jaipur,8.181281426,2.820307282,45.76028367,14.38252983,41.21441007,Fenugreek,12984.40947,13452.27634,Loamy-Tube Well
Jodhpur,7.799498171,2.426674489,27.52904988,21.41922284,44.81251296,Sugarcane,9707.72086,10316.28241,Alkaline-Drip Irrigation
Hanumangarh,7.579044613,1.861227872,36.4563692,22.10890037,46.55095954,Chilli,7487.903069,7764.943093,Alkaline-Drip Irrigation
Ajmer,7.420923078,3.621546485,41.53958125,19.09275465,39.46831499,Pulses,11571.45029,10590.93488,Clay-Sprinkler Irrigation
Bhilwara,6.978864206,2.285210587,28.34284314,17.4066664,44.26600773,Barley,13094.46749,12702.29625,Saline-Canal Irrigation
Nagaur,6.918478675,1.793288115,30.16198107,27.31127302,38.54773042,Coriander,8055.923952,8931.093656,Clay-Drip Irrigation
Hanumangarh,8.041499969,1.461809406,26.63104947,24.78768582,26.43693718,Sugarcane,13030.96599,13630.77372,Black lava soil-Tube Well
Jodhpur,7.904632349,2.058415087,23.572045,24.40032981,32.83097088,Pulses,13077.09762,12960.93443,Alkaline-Drip Irrigation
Udaipur,6.475029361,2.579537032,28.31872631,22.12744967,45.98623462,Maize,14175.39301,14457.0701,Black lava soil-Sprinkler Irrigation
Hanumangarh,7.487252936,1.891420596,30.29185145,16.98070534,38.28397037,Pulses,13011.04926,12084.8046,Loamy-Sprinkler Irrigation
Ajmer,7.112518588,2.684047118,39.83458481,19.80427987,46.2485521,Fennel,12710.18555,12017.6947,Clay-Drip Irrigation
Hanumangarh,7.83377404,1.642967441,35.89209659,18.50242481,33.82148489,Pulses,10160.28552,11142.32572,Alkaline-Drip Irrigation
Udaipur,7.129754947,2.432412219,30.75701524,21.49225907,36.08700701,Barley,12696.51843,12541.46451,Clay-Tube Well
Jaipur,8.524354129,1.187253865,27.21610614,20.16319418,45.68690549,Opium,6712.993163,6342.602307,Clay-Drip Irrigation
Jaipur,6.781873068,2.346961617,33.5829467,11.34868635,46.66942873,Barley,8087.602264,8487.712662,Black lava soil-Tube Well
Jodhpur,7.931111756,1.291886472,24.24423132,5.804606703,35.95309589,Oilseeds,9623.49358,9632.879141,Saline-Sprinkler Irrigation
Nagaur,6.855259706,2.02922474,34.56310161,22.10858467,39.70172844,Wheat,10243.22079,10833.55014,Sandy-Tube Well
Udaipur,6.522475615,1.81553028,31.06904397,15.41011948,48.65584816,Cumin,10142.64844,9881.992729,Saline-Sprinkler Irrigation
Ajmer,7.349767026,1.497199312,31.80082092,17.31177121,43.27701915,Onion,10936.18871,11014.58313,Clay-Drip Irrigation
Bhilwara,7.805108085,2.07848648,27.06734365,21.12108202,43.57304895,Garlic,7540.58891,7334.613951,Nitrogenous-Drip Irrigation
Ajmer,7.43673371,1.544837829,33.47582624,18.1218317,33.47591555,Maize,15086.93143,14486.90281,Nitrogenous-Canal Irrigation
Udaipur,7.58400767,2.472605767,32.50415796,15.60763099,43.71229457,Maize,8077.426146,7145.509671,Black lava soil-Canal Irrigation
Jodhpur,7.748894155,2.268706001,33.21150618,11.52872052,45.03303271,Pulses,16652.95404,17363.91196,Sandy-Canal Irrigation
Sri Ganganagar,7.222445386,2.006084841,29.53562749,13.6422574,34.23457834,Fennel,14614.34094,15028.75819,Alkaline-Drip Irrigation
Jaipur,8.181281426,2.820307282,45.76028367,14.38252983,41.21441007,Fenugreek,12984.40947,13452.27634,Loamy-Tube Well
Ajmer,7.680708659,1.353429228,32.86195156,22.25301706,30.6509183,Fenugreek,8522.569912,8109.718626,Loamy-Canal Irrigation
Jaipur,7.387840515,2.429792436,30.39900742,25.69777768,38.06319018,Pomegranate,6516.406866,5629.616415,Black lava soil-Sprinkler Irrigation
Jodhpur,6.931483558,1.589092586,36.51295198,20.6883097,37.24706466,Pulses,11188.18907,11450.85822,Saline-Canal Irrigation
Ajmer,7.079614055,2.110315402,28.23956126,21.6237912,42.90283844,Pomegranate,8859.254552,8703.733317,Chalky (Calcareous)-Sprinkler Irrigation
Nagaur,6.55016486,1.93586826,23.08329612,24.50864349,43.92073208,Fennel,10433.48021,9681.043435,Black lava soil-Canal Irrigation
Sri Ganganagar,7.7930829,1.793793091,31.28599485,18.79667413,40.03940092,Pulses,6785.848113,6155.341107,Black lava soil-Sprinkler Irrigation
Jaipur,8.604927833,2.163497257,25.82437748,28.26456526,50.38888793,Onion,14185.39852,13640.5555,Nitrogenous-Sprinkler Irrigation
Kota,6.022875529,1.679136428,26.87041991,15.10872531,40.61121502,Citrus,13924.5074,13887.81076,Clay-Canal Irrigation
Jaipur,6.727531327,1.730347493,31.93191327,24.18882111,36.60384673,Pulses,12139.67822,13020.55289,Chalky (Calcareous)-Sprinkler Irrigation
Nagaur,8.000912427,1.751214581,26.08998254,16.20148441,31.14465723,Pomegranate,13464.63694,13962.81877,Loamy-Tube Well
Jodhpur,7.918577243,1.839420481,22.07187147,25.70033923,35.81454933,Coriander,9052.480195,9852.96903,Alkaline-Tube Well
Alwar,6.298165699,2.696227971,33.36146704,12.49761725,32.60611438,Onion,9945.804199,10823.73315,Nitrogenous-Drip Irrigation
Alwar,7.468553067,1.776061178,33.29071518,18.02358226,47.96482048,Gram,6675.294867,6942.618462,Nitrogenous-Canal Irrigation
Udaipur,6.628526235,1.696215604,37.84091215,27.23898209,44.69320011,Fenugreek,10413.52151,9886.285296,Alkaline-Drip Irrigation
Udaipur,7.666359665,1.333425996,28.76332018,21.66615267,46.4957491,Fenugreek,7762.212787,6797.510383,Clay-Tube Well
Bhilwara,8.015329904,2.547399251,25.97004134,17.36722433,33.38826283,Cotton,13119.93241,12880.23944,Nitrogenous-Canal Irrigation
Sri Ganganagar,7.85817004,3.162349457,27.35526619,24.78652411,39.46954682,Mango,13456.82366,13356.71947,Clay-Tube Well
Sri Ganganagar,7.242390803,2.765097599,33.32463581,15.37717943,32.01200415,Mango,10154.20151,9238.573339,Alkaline-Sprinkler Irrigation
Bhilwara,6.44508088,2.669663295,26.56730623,25.81688028,45.34396161,Cotton,12431.49424,12074.77075,Clay-Sprinkler Irrigation
Jaipur,7.699734686,2.155236377,24.36368104,14.21529301,41.6125233,Garlic,8378.946113,8927.261688,Saline-Canal Irrigation
Jaipur,7.965832983,2.197686841,28.43661415,16.02005545,38.75513172,Oilseeds,9414.524911,9205.134713,Saline-Drip Irrigation
Nagaur,7.026053641,1.582838477,33.82014891,12.28599242,36.83622485,Citrus,8226.8289,8075.078269,Alkaline-Sprinkler Irrigation
Bhilwara,7.869118615,1.428330504,30.43736877,21.16521476,36.40967608,Wheat,14163.87759,13331.73667,Alkaline-Drip Irrigation
Kota,7.569825837,2.032512316,34.06640203,15.78073061,31.28163699,Chilli,9414.820996,8782.593394,Nitrogenous-Tube Well
Hanumangarh,8.031970494,2.126284423,36.92266024,22.22099164,45.50661479,Sugarcane,11629.65934,11675.11931,Black lava soil-Tube Well
Nagaur,8.297221196,2.339473494,25.93798826,19.7548533,39.19819959,Citrus,10496.03315,10180.43482,Black lava soil-Tube Well
Nagaur,6.865334752,2.851257329,31.01164398,28.1592845,36.33483502,Coriander,13006.8102,12394.84136,Sandy-Drip Irrigation
Nagaur,8.03554025,0.962756824,29.88982568,25.60930752,39.06660519,Bajra,7692.338336,7395.405669,Nitrogenous-Sprinkler Irrigation
Hanumangarh,7.223411377,1.873024147,26.23068943,21.91326776,45.62466273,Fenugreek,6585.00933,7101.996971,Chalky (Calcareous)-Canal Irrigation
Sri Ganganagar,7.120163491,2.331823174,35.29782786,17.22359752,45.19006264,Bajra,9273.274584,9322.065979,Nitrogenous-Sprinkler Irrigation
Ajmer,7.806885428,2.187727929,30.83785053,25.81129799,37.3020439,Pulses,11100.78018,10715.63683,Chalky (Calcareous)-Sprinkler Irrigation
Nagaur,8.382456903,3.396104434,30.45584073,23.9410207,31.09687164,Oilseeds,12487.54017,11780.39695,Loamy-Canal Irrigation
Udaipur,7.340881236,1.609421811,28.7009993,27.99269056,44.01064229,Cotton,14868.03934,15476.04501,Saline-Sprinkler Irrigation
Bhilwara,6.655408481,1.76436813,20.12256114,23.75549727,29.67458477,Garlic,11735.78923,11722.72282,Alkaline-Drip Irrigation
Nagaur,7.788225673,1.245722016,30.92485288,22.26378176,48.53664905,Cotton,10268.31714,9304.147579,Black lava soil-Drip Irrigation
Alwar,7.768739352,1.710770136,29.6125285,19.70784941,44.13201659,Tomato,10189.05345,9939.347221,Clay-Canal Irrigation
Jaipur,6.807006029,2.252794621,37.44556554,31.35724873,37.97801288,Wheat,7489.464053,8236.964475,Loamy-Canal Irrigation
Jodhpur,6.853246187,1.652152561,25.40936508,26.19792003,38.01885161,Onion,10952.76011,11134.34191,Saline-Tube Well
Ajmer,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Mustard,11298.74409,11921.78615,Black lava soil-Sprinkler Irrigation
Alwar,8.344594467,2.834961391,36.11974377,19.01189766,38.17379511,Sugarcane,9588.476682,8780.699677,Chalky (Calcareous)-Sprinkler Irrigation
Ajmer,7.207036163,2.164553389,36.26421317,17.75887692,36.53874835,Mustard,9974.913485,9799.321096,Sandy-Tube Well
Sri Ganganagar,6.711501759,1.598587778,29.63013568,19.62167198,49.86271088,Coriander,12819.70117,12916.12556,Black lava soil-Sprinkler Irrigation
Ajmer,8.188590468,2.510018253,28.18434177,24.27201001,41.70607921,Citrus,8098.752696,8638.194989,Loamy-Sprinkler Irrigation
Sri Ganganagar,7.624725473,2.199614096,42.46091999,18.62439286,38.41119553,Sugarcane,14449.43406,14962.76992,Nitrogenous-Drip Irrigation
Sri Ganganagar,7.639541929,2.145781838,21.54664186,15.10750227,53.77608872,Coriander,12385.67735,12661.67578,Clay-Sprinkler Irrigation
Jodhpur,7.193206197,2.09812047,32.72893357,9.142142976,39.95943399,Cotton,8157.022241,7718.966104,Sandy-Canal Irrigation
Hanumangarh,7.568298698,2.012692639,26.41713256,24.04797218,42.65447157,Opium,12116.36042,12663.51144,Alkaline-Drip Irrigation
Alwar,8.017721708,1.581968924,37.12247911,19.54146988,35.56115244,Guava,7218.176225,8213.088311,Loamy-Tube Well
Kota,7.36719772,1.800060881,29.42679582,21.32134136,39.24941524,Onion,9516.809647,9391.520685,Chalky (Calcareous)-Drip Irrigation
Jaipur,6.839961406,1.880623699,36.42791117,19.71469354,40.70797893,Citrus,8134.08781,7534.831617,Black lava soil-Canal Irrigation
Ajmer,7.215425901,1.601443217,30.20462374,22.17470519,38.03006659,Cumin,11546.48612,11688.06174,Sandy-Drip Irrigation
Alwar,7.201794296,1.850409114,34.04459635,17.07772354,36.25321155,Guava,11923.86301,12824.14065,Alkaline-Tube Well
Jodhpur,7.409248419,0.911467477,30.89238332,27.14428854,32.62933934,Cotton,10648.63544,11361.25292,Sandy-Sprinkler Irrigation
Jodhpur,5.97767173,2.510817607,37.18184017,14.74906731,35.13850878,Sugarcane,4673.530139,5304.289717,Sandy-Drip Irrigation
Jaipur,7.896909234,1.85131196,28.76808299,24.93188253,36.44013386,Mango,12977.27774,12286.88913,Black lava soil-Tube Well
Kota,6.74051511,2.252290907,33.13269182,13.80218857,32.48564696,Gram,9289.883923,9468.516256,Saline-Tube Well
Jaipur,6.878876733,1.437206443,24.51889838,19.66064309,42.15815815,Mustard,12872.89236,13647.41543,Black lava soil-Sprinkler Irrigation
Bhilwara,7.184770773,2.818541204,26.09928059,23.67634655,37.20418082,Wheat,11803.36192,10969.82763,Chalky (Calcareous)-Tube Well
Jaipur,7.853039457,1.878659362,24.86815396,26.15000286,35.17647287,Cotton,15160.8357,14724.52624,Nitrogenous-Drip Irrigation
Nagaur,7.690712809,2.498632784,35.90945021,19.66775512,38.20960277,Sugarcane,7049.046866,7916.060498,Saline-Sprinkler Irrigation
Jodhpur,8.347861439,2.948644347,30.78346864,25.11765322,40.87643389,Cotton,7696.485269,7857.676576,Alkaline-Drip Irrigation
Bhilwara,7.088961994,1.390357767,27.15275113,19.37989306,34.67889997,Cotton,11870.40554,11739.8742,Chalky (Calcareous)-Sprinkler Irrigation
Ajmer,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Mustard,11298.74409,11921.78615,Black lava soil-Sprinkler Irrigation
Ajmer,6.609420793,0.88476599,31.13342124,17.19221127,37.23455092,Citrus,13664.46576,13880.32568,Black lava soil-Tube Well
Alwar,7.757441798,2.409962626,31.62170105,17.33637251,44.19831932,Tomato,8160.576332,8616.577673,Nitrogenous-Canal Irrigation
Alwar,7.575703698,1.710524121,25.51816226,17.75652159,41.17129632,Fenugreek,13261.73045,13985.77701,Black lava soil-Tube Well
Sri Ganganagar,7.753510136,1.971302317,23.02275748,16.4604453,38.68626626,Maize,5840.427812,6178.499028,Sandy-Drip Irrigation
Nagaur,7.038905547,1.522690949,32.59109475,17.46905469,39.10242713,Citrus,6404.663278,7170.109522,Black lava soil-Drip Irrigation
Udaipur,7.020610772,1.323745655,22.08205805,22.06499456,38.92966151,Mustard,10055.48158,10698.92911,Black lava soil-Sprinkler Irrigation
Ajmer,8.338688544,1.597414124,35.38424072,9.151612911,34.02905299,Oilseeds,12856.79532,13280.61297,Chalky (Calcareous)-Drip Irrigation
Ajmer,7.327040335,2.444576912,24.39124449,16.16567981,40.34036135,Tomato,6059.669863,5169.737135,Sandy-Canal Irrigation
Jodhpur,7.42435039,1.302105399,32.95674621,16.38004834,39.02304824,Pulses,7859.777358,7644.620908,Saline-Drip Irrigation
Jaipur,7.376123791,2.660207005,25.62782176,23.13803149,38.60246268,Garlic,7315.642423,7112.696498,Chalky (Calcareous)-Tube Well
Jodhpur,7.303194209,2.191216658,23.43918399,18.01442334,39.79264111,Sugarcane,14076.78192,14591.2734,Alkaline-Sprinkler Irrigation
Nagaur,6.940226936,1.803235072,30.89347358,26.14607392,43.01547342,Sugarcane,14425.18319,14495.24971,Chalky (Calcareous)-Drip Irrigation
Sri Ganganagar,7.291045227,0.987096063,24.64573791,29.55709544,33.59772214,Pomegranate,10606.79975,10417.70169,Chalky (Calcareous)-Canal Irrigation
Ajmer,7.974071475,1.847022784,23.81760857,26.37220114,39.52329454,Fennel,8385.900627,8458.110409,Alkaline-Canal Irrigation
Kota,7.306017516,1.911933248,15.5024306,28.35673788,35.4931216,Sugarcane,11408.14277,11428.96675,Saline-Sprinkler Irrigation
Sri Ganganagar,7.222445386,2.006084841,29.53562749,13.6422574,34.23457834,Fennel,14614.34094,15028.75819,Alkaline-Drip Irrigation
Nagaur,7.517013706,2.055686301,29.10453357,21.97909891,43.46427878,Cumin,7440.109287,7803.142863,Alkaline-Tube Well
Udaipur,7.26156177,2.838557935,22.6974955,25.95630341,43.37568528,Chilli,9022.719607,9012.303657,Nitrogenous-Tube Well
Jodhpur,7.411943783,2.041493709,29.34537097,25.64119892,35.62078797,Chilli,11453.42947,10633.92704,Loamy-Canal Irrigation
Udaipur,6.883729844,1.657754135,32.28662141,30.49110737,39.30958833,Cumin,6299.818711,6237.581927,Saline-Tube Well
Nagaur,7.297819004,1.656860432,22.83664355,20.72918235,42.92649718,Sugarcane,10726.44336,11310.92479,Sandy-Tube Well
Kota,6.923333798,1.156327826,21.03053751,13.22276248,36.45489521,Cumin,11583.42253,11166.92894,Clay-Drip Irrigation
Udaipur,6.522475615,1.81553028,31.06904397,15.41011948,48.65584816,Cumin,10142.64844,9881.992729,Saline-Sprinkler Irrigation
Jaipur,7.965832983,2.197686841,28.43661415,16.02005545,38.75513172,Oilseeds,9414.524911,9205.134713,Saline-Drip Irrigation
Kota,7.644364002,1.421441691,23.33435823,12.24243875,43.31025917,Coriander,14303.01219,13941.81045,Black lava soil-Tube Well
Nagaur,8.208205896,2.386619993,29.21081245,21.54146032,36.99807154,Gram,10252.36347,9586.456069,Saline-Drip Irrigation
Ajmer,7.161502431,1.613670277,34.15095906,24.50199294,42.2561266,Chilli,9040.477636,9775.91648,Chalky (Calcareous)-Tube Well
Bhilwara,7.514228791,0.96109409,28.39851098,28.21689078,41.80323946,Pulses,12812.4188,12361.25589,Loamy-Drip Irrigation
Jodhpur,7.42435039,1.302105399,32.95674621,16.38004834,39.02304824,Pulses,7859.777358,7644.620908,Saline-Drip Irrigation
Nagaur,7.984684651,1.684298722,30.26263184,16.22024647,41.80220838,Fenugreek,15100.29348,15807.20106,Saline-Canal Irrigation
Jaipur,7.04359454,1.791284809,31.72026961,21.7417087,35.51084967,Mustard,10049.30966,10249.80054,Clay-Sprinkler Irrigation
Sri Ganganagar,7.285509641,2.482384947,36.49993686,24.80152584,31.02904067,Bajra,11978.69074,11956.27806,Clay-Sprinkler Irrigation
Nagaur,7.169582882,1.213505371,24.73726404,24.97149413,41.27365569,Onion,7361.595151,7776.958274,Black lava soil-Canal Irrigation
Jaipur,7.679737899,3.174537893,26.41978282,17.91687347,39.68438493,Gram,8239.982405,9048.975322,Loamy-Canal Irrigation
Bhilwara,7.654999492,1.971705756,36.09485395,10.24449068,40.71793968,Onion,5216.115117,5076.985744,Black lava soil-Canal Irrigation
Ajmer,7.207036163,2.164553389,36.26421317,17.75887692,36.53874835,Mustard,9974.913485,9799.321096,Sandy-Tube Well
Sri Ganganagar,6.68303852,1.787584326,32.51249848,15.54625568,32.86586712,Bajra,15528.13214,15790.83755,Alkaline-Sprinkler Irrigation
Jodhpur,7.464889819,0.738861041,29.24016309,25.30071909,35.5312699,Tomato,11659.04084,10669.46763,Saline-Canal Irrigation
Sri Ganganagar,7.350151972,2.787937905,29.76100375,16.36612931,35.61191322,Cumin,13257.57018,14186.14983,Alkaline-Sprinkler Irrigation
Jaipur,7.817664598,1.941166349,27.72266472,21.22478547,42.37316743,Bajra,12647.30341,12819.36156,Sandy-Sprinkler Irrigation
Kota,7.392106437,1.411119271,37.34892129,16.88864889,30.79866808,Chilli,10096.85948,9846.919244,Clay-Drip Irrigation
Jodhpur,7.628626711,1.827761396,26.25292007,21.6888305,37.27456385,Citrus,15326.49367,14575.44868,Loamy-Drip Irrigation
Sri Ganganagar,8.116703038,1.996155502,28.06062109,26.53036102,37.5421903,Mango,6794.217285,5950.658344,Black lava soil-Sprinkler Irrigation
Nagaur,7.647485728,1.251371177,36.40469788,16.67288851,43.60951743,Oilseeds,7360.920783,8074.86831,Chalky (Calcareous)-Sprinkler Irrigation
Bhilwara,6.457103781,2.486863115,31.4939889,16.13272078,49.49367491,Mango,13348.47188,14148.82082,Alkaline-Drip Irrigation
Jodhpur,7.191928271,1.479900645,33.49407835,27.24410054,38.42459036,Fennel,9980.289076,9151.358474,Chalky (Calcareous)-Tube Well
